"","x"
"173",7879
"174",20094
"175",56231
"176",70301
"177",8877
"178",21957
"179",89673
"180",38766
"181",48239
"182",97814
"183",97140
"184",53975
"185",20584
"186",50064
"187",52048
"188",49235
"189",2702
"190",50157
"191",99412
"192",3864
"193",10017
"194",31205
"195",90405
"196",16278
"197",41777
"198",51463
"199",70991
"200",78292
"201",37804
"202",83422
"203",35655
"204",18161
"205",20829
"206",98696
"207",75013
"208",56973
"209",82252
"210",93835
"211",78731
"212",86201
"213",48298
"214",77478
"215",16740
"216",71243
"217",9408
"218",51030
"219",64196
"220",5645
"221",41445
"222",25721
"223",81829
"224",29859
"225",71374
"226",66803
"227",91650
"228",46550
"229",93151
"230",67940
"231",59184
"232",29415
"233",30335
"234",98057
"235",11546
"236",91751
"237",94404
"238",34502
"239",61445
"240",36371
"241",70405
"242",62453
"243",35377
"244",87829
"245",98869
"246",64373
"247",81401
"248",84775
"249",366
"250",64994
"251",98457
"252",13774
"253",40396
"254",39614
"255",27464
"256",3919
"257",21989
"258",79780
"259",99993
"260",11545
"261",6285
"262",78328
"263",61684
"264",68370
"265",56221
"266",20068
"267",61570
"268",3130
"269",62345
"270",67356
"271",80250
"272",58494
"273",21566
"274",77422
"275",32846
"276",67238
"277",76715
"278",2487
"279",27527
"280",32579
"281",38392
"282",8746
"283",41511
"284",73095
"285",90454
"286",34686
"287",36863
"288",43355
"289",67879
"290",97000
"291",54674
"292",28463
"293",772
"294",50630
"295",75332
"296",11593
"297",31062
"298",88958
"299",36498
"300",92823
"301",57070
"302",5393
"303",48540
"304",3844
"305",32349
"306",98915
"307",19234
"308",82434
"309",36194
"310",35436
"311",22050
"312",46543
"313",33493
"314",42624
"315",74515
"316",15919
"317",63707
"318",44395
"319",38535
"320",10409
"321",6947
"322",48723
"323",42275
"324",57169
"325",19624
"326",70870
"327",9033
"328",3636
"329",18031
"330",28632
"331",6263
"332",91986
"333",60387
"334",68450
"335",57336
"336",29436
"337",24737
"338",76747
"339",62265
"340",36406
"341",30217
"342",54910
"343",42174
"344",95065
"345",14151
"346",39524
"347",92355
"348",55572
"349",49856
"350",63618
"351",99709
"352",9839
"353",25323
"354",25013
"355",33
"356",88517
"357",4086
"358",62586
"359",58698
"360",44461
"361",13584
"362",14724
"363",91976
"364",17883
"365",19230
"366",56223
"367",34284
"368",44099
"369",52582
"370",68052
"371",38026
"372",2892
"373",38505
"374",55208
"375",88868
"376",16436
"377",9426
"378",65535
"379",69098
"380",41267
"381",78342
"382",5268
"383",80562
"384",74802
"385",52389
"386",28782
"387",14242
"388",55491
"389",93341
"390",12478
"391",42043
"392",42071
"393",16306
"394",89210
"395",26292
"396",9181
"397",51766
"398",33113
"399",46357
"400",39704
"401",83433
"402",14301
"403",74771
"404",27903
"405",76728
"406",49150
"407",5600
"408",47992
"409",40892
"410",77886
"411",20112
"412",4465
"413",10807
"414",6193
"415",91193
"416",5984
"417",3339
"418",24978
"419",69409
"420",94636
"421",21348
"422",87465
"423",5727
"424",72622
"425",77159
"426",43760
"427",22468
"428",57298
"429",14953
"430",94947
"431",2293
"432",37814
"433",96954
"434",94090
"435",17803
"436",13867
"437",34836
"438",2813
"439",23009
"440",81891
"441",42975
"442",43301
"443",43870
"444",71169
"445",17657
"446",22038
"447",68963
"448",43302
"449",51215
"450",70660
"451",83604
"452",4384
"453",95676
"454",92185
"455",41516
"456",98537
"457",34463
"458",62616
"459",5556
"460",29085
"461",94255
"462",67952
"463",43646
"464",69404
"465",68042
"466",8438
"467",39784
"468",8734
"469",20090
"470",86774
"471",99650
"472",16935
"473",18741
"474",74459
"475",15277
"476",45646
"477",24028
"478",67312
"479",70468
"480",2763
"481",19662
"482",54255
"483",91302
"484",48582
"485",75862
"486",90500
"487",4918
"488",98928
"489",89367
"490",70515
"491",32332
"492",40992
"493",43905
"494",29637
"495",70921
"496",31772
"497",12324
"498",40137
"499",52492
"500",30586
"501",61738
"502",57504
"503",344
"504",67576
"505",20774
"506",889
"507",576
"508",1061
"509",18037
"510",56371
"511",52767
"512",69746
"513",10593
"514",85599
"515",50554
"516",1977
"517",50497
"518",59291
"519",30174
"520",93179
"521",18582
"522",64262
"523",79795
"524",10054
"525",98369
"526",66049
"527",74360
"528",6460
"529",37498
"530",95979
"531",9171
"532",4576
"533",64648
"534",34187
"535",30531
"536",57931
"537",95036
"538",14452
"539",90576
"540",26128
"541",63821
"542",91309
"543",33063
"544",9029
"545",71779
"546",9297
"547",50346
"548",22653
"549",91995
"550",20064
"551",21077
"552",84638
"553",30537
"554",20412
"555",998
"556",45299
"557",17829
"558",95345
"559",48250
"560",48135
"561",67767
"562",82098
"563",59490
"564",59766
"565",91502
"566",84691
"567",76217
"568",47614
"569",25704
"570",48755
"571",80818
"572",14976
"573",8921
"574",27195
"575",34235
"576",72973
"577",30732
"578",68304
"579",39116
"580",48743
"581",35276
"582",84728
"583",97561
"584",48362
"585",106
"586",9472
"587",63781
"588",301
"589",81028
"590",27312
"591",14586
"592",96058
"593",26163
"594",95354
"595",3141
"596",66929
"597",18415
"598",76981
"599",49973
"600",91893
"601",58701
"602",97437
"603",66739
"604",57947
"605",72108
"606",95373
"607",64231
"608",84506
"609",90903
"610",99080
"611",14564
"612",48813
"613",69079
"614",76928
"615",91620
"616",50681
"617",40104
"618",39595
"619",81027
"620",23593
"621",23282
"622",71131
"623",59831
"624",7781
"625",12739
"626",60297
"627",10111
"628",73048
"629",1796
"630",12341
"631",40255
"632",98253
"633",12026
"634",45378
"635",62947
"636",77018
"637",46861
"638",66725
"639",87838
"640",49909
"641",99807
"642",39658
"643",77035
"644",11520
"645",7272
"646",9841
"647",27151
"648",34267
"649",21107
"650",21619
"651",11583
"652",90289
"653",58150
"654",71641
"655",80076
"656",44592
"657",10108
"658",36121
"659",51492
"660",89534
"661",20680
"662",51985
"663",36303
"664",18974
"665",84102
"666",21161
"667",33958
"668",78382
"669",47821
"670",72803
"671",86877
"672",57645
"673",13898
"674",17968
"675",74870
"676",25954
"677",66136
"678",88542
"679",59237
"680",42334
"681",56615
"682",74494
"683",88
"684",45995
"685",47049
"686",39047
"687",73382
"688",68349
"689",63221
"690",79758
"691",9765
"692",63911
"693",69595
"694",11690
"695",97901
"696",10878
"697",49921
"698",39469
"699",50878
"700",20308
"701",5668
"702",61115
"703",14659
"704",39429
"705",15849
"706",16058
"707",61776
"708",10504
"709",60791
"710",15106
"711",12665
"712",81497
"713",55708
"714",65668
"715",80629
"716",62257
"717",45315
"718",20917
"719",42279
"720",44426
"721",81789
"722",56278
"723",23356
"724",63261
"725",41611
"726",72088
"727",69368
"728",87479
"729",8798
"730",37739
"731",65545
"732",88755
"733",97830
"734",11233
"735",84331
"736",78719
"737",91485
"738",78703
"739",3168
"740",90486
"741",72318
"742",92561
"743",61286
"744",25745
"745",34050
"746",8147
"747",10652
"748",73429
"749",14777
"750",36606
"751",85274
"752",98686
"753",28255
"754",71998
"755",82355
"756",30415
"757",37855
"758",44869
"759",61577
"760",56563
"761",26997
"762",7435
"763",86835
"764",28829
"765",79338
"766",17767
"767",83472
"768",23170
"769",27509
"770",89207
"771",20287
"772",83190
"773",38306
"774",77001
"775",33789
"776",775
"777",46194
"778",7351
"779",25060
"780",25450
"781",30832
"782",12368
"783",97353
"784",66828
"785",22451
"786",55596
"787",62509
"788",32675
"789",36774
"790",7316
"791",69218
"792",91146
"793",65081
"794",8015
"795",76401
"796",40593
"797",34934
"798",72070
"799",42850
"800",35438
"801",44775
"802",59485
"803",89174
"804",7591
"805",51570
"806",15281
"807",97264
"808",51074
"809",85029
"810",91422
"811",13088
"812",4483
"813",86929
"814",40422
"815",78412
"816",1484
"817",98437
"818",84514
"819",16139
"820",29716
"821",89822
"822",35701
"823",85826
"824",20499
"825",24136
"826",85471
"827",48262
"828",43136
"829",92293
"830",49890
"831",89537
"832",14187
"833",33672
"834",18459
"835",1992
"836",5095
"837",73718
"838",14548
"839",90814
"840",64699
"841",97123
"842",75942
"843",6565
"844",80846
"845",93277
"846",40066
"847",2258
"848",58305
"849",57561
"850",63825
"851",9769
"852",68484
"853",90444
"854",59370
"855",92375
"856",75307
"857",85
"858",1974
"859",54553
"860",29697
"861",86425
"862",46664
"863",42971
"864",80493
"865",83173
"866",80716
"867",38880
"868",32834
"869",53968
"870",68732
"871",49279
"872",23406
"873",43712
"874",21322
"875",14633
"876",8833
"877",72191
"878",65326
"879",60233
"880",23569
"881",27024
"882",19461
"883",22471
"884",63889
"885",83132
"886",11510
"887",84639
"888",9137
"889",73873
"890",98478
"891",42387
"892",72807
"893",29990
"894",309
"895",28278
"896",78793
"897",58800
"898",78081
"899",91397
"900",47350
"901",95062
"902",30377
"903",28184
"904",49259
"905",50416
"906",90212
"907",35906
"908",3469
"909",35851
"910",36744
"911",90687
"912",29648
"913",15773
"914",32950
"915",67754
"916",28534
"917",71082
"918",86975
"919",4091
"920",35993
"921",39721
"922",43288
"923",6780
"924",36312
"925",69039
"926",21429
"927",91739
"928",11194
"929",57950
"930",16362
"931",45034
"932",49183
"933",69529
"934",96011
"935",86289
"936",51689
"937",49042
"938",28958
"939",80768
"940",26324
"941",30612
"942",2270
"943",6058
"944",25377
"945",42688
"946",73093
"947",67396
"948",3600
"949",42783
"950",52745
"951",96394
"952",13491
"953",19858
"954",94005
"955",75897
"956",67445
"957",859
"958",6073
"959",18578
"960",78136
"961",65343
"962",52013
"963",98682
"964",50359
"965",78630
"966",46877
"967",62129
"968",11021
"969",98948
"970",5188
"971",87478
"972",75829
"973",24945
"974",86433
"975",94066
"976",20462
"977",52398
"978",76082
"979",59584
"980",35563
"981",89659
"982",79394
"983",57710
"984",74422
"985",66533
"986",48514
"987",74139
"988",73622
"989",38335
"990",17530
"991",61863
"992",44522
"993",85212
"994",52908
"995",46608
"996",29407
"997",93187
"998",72581
"999",89079
"1000",59646
"1001",67598
"1002",81798
"1003",82051
"1004",75434
"1005",38840
"1006",71511
"1007",3817
"1008",19939
"1009",59109
"1010",1606
"1011",64042
"1012",31238
"1013",79014
"1014",1611
"1015",7493
"1016",66542
"1017",15685
"1018",64831
"1019",43407
"1020",96014
"1021",67473
"1022",70461
"1023",61182
"1024",31173
"1025",10465
"1026",41961
"1027",27533
"1028",20208
"1029",83881
"1030",20055
"1031",52938
"1032",53771
"1033",43056
"1034",78963
"1035",88906
"1036",50825
"1037",33879
"1038",7515
"1039",95844
"1040",54064
"1041",42833
"1042",63890
"1043",40737
"1044",88936
"1045",31226
"1046",56417
"1047",47032
"1048",93055
"1049",23359
"1050",71610
"1051",50677
"1052",43057
"1053",86936
"1054",82309
"1055",58691
"1056",34204
"1057",44396
"1058",28728
"1059",14236
"1060",1445
"1061",63417
"1062",54881
"1063",15868
"1064",38851
"1065",90941
"1066",72444
"1067",13059
"1068",89473
"1069",47455
"1070",98588
"1071",15989
"1072",79323
"1073",44074
"1074",65554
"1075",76941
"1076",42044
"1077",90345
"1078",26596
"1079",5322
"1080",7384
"1081",28980
"1082",54422
"1083",61305
"1084",62624
"1085",87840
"1086",67720
"1087",53279
"1088",9636
"1089",29119
"1090",85645
"1091",51114
"1092",61504
"1093",7404
"1094",96651
"1095",32400
"1096",62545
"1097",41339
"1098",13184
"1099",54716
"1100",1849
"1101",12732
"1102",39938
"1103",70541
"1104",3148
"1105",709
"1106",59044
"1107",9683
"1108",50635
"1109",12724
"1110",88027
"1111",62997
"1112",11180
"1113",94828
"1114",49504
"1115",37397
"1116",23992
"1117",36645
"1118",35400
"1119",81448
"1120",23940
"1121",94991
"1122",59229
"1123",60637
"1124",39717
"1125",12911
"1126",67658
"1127",55966
"1128",7615
"1129",47473
"1130",5947
"1131",64468
"1132",23935
"1133",17791
"1134",65694
"1135",48293
"1136",12061
"1137",31372
"1138",39513
"1139",7131
"1140",72357
"1141",32719
"1142",55514
"1143",26467
"1144",50397
"1145",37619
"1146",14201
"1147",51462
"1148",3210
"1149",4548
"1150",27956
"1151",42598
"1152",66096
"1153",29357
"1154",34023
"1155",41661
"1156",80732
"1157",5616
"1158",99079
"1159",16121
"1160",94640
"1161",58170
"1162",91998
"1163",65252
"1164",84126
"1165",5936
"1166",33700
"1167",18814
"1168",28077
"1169",38936
"1170",44210
"1171",45672
"1172",39268
"1173",11352
"1174",7258
"1175",82289
"1176",63935
"1177",49884
"1178",34097
"1179",84519
"1180",35735
"1181",56354
"1182",7688
"1183",66175
"1184",62845
"1185",29737
"1186",50162
"1187",57474
"1188",70202
"1189",13893
"1190",11367
"1191",7756
"1192",57157
"1193",56115
"1194",97496
"1195",459
"1196",53617
"1197",44517
"1198",22610
"1199",11310
"1200",47637
"1201",14197
"1202",42432
"1203",61418
"1204",46477
"1205",82515
"1206",4721
"1207",77872
"1208",53665
"1209",78511
"1210",2681
"1211",19963
"1212",75787
"1213",93537
"1214",23360
"1215",17438
"1216",10074
"1217",41800
"1218",91468
"1219",98570
"1220",10194
"1221",89667
"1222",75044
"1223",62236
"1224",48845
"1225",75420
"1226",86894
"1227",72607
"1228",94266
"1229",85796
"1230",98287
"1231",40665
"1232",66241
"1233",74775
"1234",37221
"1235",1426
"1236",5253
"1237",38827
"1238",42572
"1239",80046
"1240",54614
"1241",75164
"1242",65467
"1243",86541
"1244",78161
"1245",6859
"1246",55655
"1247",72084
"1248",35081
"1249",87461
"1250",174
"1251",86252
"1252",82675
"1253",81990
"1254",79412
"1255",89421
"1256",51287
"1257",45353
"1258",24200
"1259",8801
"1260",38139
"1261",21826
"1262",63425
"1263",32898
"1264",59219
"1265",52726
"1266",30688
"1267",37131
"1268",52822
"1269",81959
"1270",25693
"1271",34994
"1272",25520
"1273",99163
"1274",226
"1275",23723
"1276",27243
"1277",72518
"1278",31709
"1279",9023
"1280",62521
"1281",70572
"1282",6042
"1283",32582
"1284",60636
"1285",31175
"1286",59904
"1287",83468
"1288",78912
"1289",69498
"1290",95830
"1291",36532
"1292",12186
"1293",51683
"1294",4796
"1295",79383
"1296",6234
"1297",71337
"1298",95980
"1299",62522
"1300",43555
"1301",39379
"1302",23930
"1303",57559
"1304",48910
"1305",39695
"1306",48283
"1307",25962
"1308",40776
"1309",4512
"1310",7395
"1311",65912
"1312",42076
"1313",63220
"1314",92996
"1315",5581
"1316",16183
"1317",72510
"1318",3726
"1319",38575
"1320",46927
"1321",34094
"1322",86711
"1323",68621
"1324",32536
"1325",30670
"1326",58380
"1327",75345
"1328",25508
"1329",61984
"1330",80735
"1331",221
"1332",24252
"1333",86067
"1334",15964
"1335",91080
"1336",50007
"1337",13982
"1338",54038
"1339",39808
"1340",47086
"1341",82353
"1342",59928
"1343",93689
"1344",54547
"1345",63661
"1346",49002
"1347",79280
"1348",59197
"1349",35660
"1350",54111
"1351",11787
"1352",95940
"1353",85112
"1354",1555
"1355",67894
"1356",81005
"1357",18859
"1358",14353
"1359",12200
"1360",79367
"1361",87563
"1362",44343
"1363",76777
"1364",88479
"1365",81071
"1366",61654
"1367",45145
"1368",61971
"1369",94438
"1370",12720
"1371",13727
"1372",17489
"1373",11409
"1374",32186
"1375",56329
"1376",65946
"1377",89926
"1378",9135
"1379",11749
"1380",82810
"1381",93908
"1382",58155
"1383",44188
"1384",63837
"1385",7052
"1386",1010
"1387",93528
"1388",95742
"1389",77898
"1390",69324
"1391",8271
"1392",36825
"1393",32884
"1394",81968
"1395",84065
"1396",82455
"1397",99415
"1398",33079
"1399",2966
"1400",89779
"1401",3380
"1402",11512
"1403",60438
"1404",55013
"1405",49636
"1406",63489
"1407",28461
"1408",34451
"1409",9121
"1410",41023
"1411",7864
"1412",19053
"1413",96872
"1414",21022
"1415",55257
"1416",9473
"1417",26131
"1418",2833
"1419",22450
"1420",66667
"1421",71263
"1422",28183
"1423",32103
"1424",78207
"1425",46104
"1426",76049
"1427",46972
"1428",43992
"1429",12084
"1430",85714
"1431",65403
"1432",16521
"1433",75364
"1434",96166
"1435",56376
"1436",12607
"1437",66509
"1438",14653
"1439",98295
"1440",53038
"1441",3684
"1442",18654
"1443",31818
"1444",45767
"1445",39833
"1446",4158
"1447",41594
"1448",35249
"1449",83737
"1450",74014
"1451",63639
"1452",89388
"1453",83793
"1454",59022
"1455",15643
"1456",10839
"1457",47565
"1458",3289
"1459",53780
"1460",17055
"1461",57878
"1462",81880
"1463",30242
"1464",15121
"1465",76367
"1466",30100
"1467",93722
"1468",33405
"1469",73349
"1470",61051
"1471",83022
"1472",10120
"1473",21056
"1474",41333
"1475",97555
"1476",19834
"1477",42524
"1478",37494
"1479",61128
"1480",24650
"1481",42114
"1482",2307
"1483",22616
"1484",98378
"1485",92184
"1486",12483
"1487",86157
"1488",18966
"1489",90920
"1490",26754
"1491",10977
"1492",34718
"1493",51563
"1494",4263
"1495",44148
"1496",91388
"1497",39302
"1498",38396
"1499",20767
"1500",9274
"1501",83172
"1502",27358
"1503",17504
"1504",7205
"1505",46463
"1506",43270
"1507",81717
"1508",78346
"1509",61681
"1510",35028
"1511",60643
"1512",77916
"1513",99344
"1514",6331
"1515",19251
"1516",75914
"1517",36084
"1518",53035
"1519",82038
"1520",63716
"1521",62003
"1522",18379
"1523",65397
"1524",33517
"1525",58709
"1526",29831
"1527",99992
"1528",20077
"1529",44342
"1530",17501
"1531",22590
"1532",73430
"1533",21997
"1534",94106
"1535",51133
"1536",6775
"1537",36060
"1538",43982
"1539",22036
"1540",81249
"1541",83009
"1542",90010
"1543",66477
"1544",46113
"1545",55041
"1546",66761
"1547",66531
"1548",70609
"1549",98284
"1550",79549
"1551",56163
"1552",54839
"1553",40035
"1554",25064
"1555",88299
"1556",58169
"1557",91905
"1558",58492
"1559",46202
"1560",88953
"1561",20617
"1562",58376
"1563",99811
"1564",41224
"1565",12789
"1566",96116
"1567",33580
"1568",11888
"1569",15399
"1570",24918
"1571",63375
"1572",19899
"1573",78119
"1574",38327
"1575",26763
"1576",37346
"1577",85302
"1578",64860
"1579",99582
"1580",48140
"1581",21217
"1582",96024
"1583",95203
"1584",1617
"1585",52094
"1586",25817
"1587",46976
"1588",76127
"1589",22098
"1590",38953
"1591",81548
"1592",72404
"1593",45613
"1594",49748
"1595",17511
"1596",90658
"1597",62815
"1598",74002
"1599",39512
"1600",92987
"1601",61205
"1602",98579
"1603",9433
"1604",98483
"1605",52246
"1606",57382
"1607",73532
"1608",15224
"1609",12799
"1610",76504
"1611",34664
"1612",20206
"1613",74447
"1614",95963
"1615",72902
"1616",97608
"1617",29055
"1618",34080
"1619",15664
"1620",60987
"1621",30310
"1622",5339
"1623",82219
"1624",94945
"1625",4229
"1626",4130
"1627",16430
"1628",45015
"1629",47209
"1630",51474
"1631",58713
"1632",36956
"1633",77812
"1634",73782
"1635",33537
"1636",57002
"1637",2273
"1638",81311
"1639",50109
"1640",17722
"1641",27932
"1642",98758
"1643",72433
"1644",21746
"1645",83460
"1646",49294
"1647",8842
"1648",89578
"1649",58270
"1650",16103
"1651",18018
"1652",13091
"1653",25293
"1654",44574
"1655",85152
"1656",36625
"1657",64921
"1658",8525
"1659",14986
"1660",67813
"1661",90398
"1662",12914
"1663",49374
"1664",61376
"1665",28075
"1666",92327
"1667",69905
"1668",93259
"1669",67675
"1670",47400
"1671",10123
"1672",15240
"1673",48258
"1674",54409
"1675",3482
"1676",58354
"1677",74763
"1678",71347
"1679",723
"1680",43511
"1681",88307
"1682",82302
"1683",97543
"1684",24795
"1685",10885
"1686",11356
"1687",79418
"1688",86513
"1689",32611
"1690",58957
"1691",75935
"1692",83050
"1693",24673
"1694",85398
"1695",66889
"1696",82013
"1697",88113
"1698",93946
"1699",12992
"1700",56292
"1701",44909
"1702",19191
"1703",77482
"1704",28260
"1705",80353
"1706",77471
"1707",74049
"1708",91059
"1709",90074
"1710",60402
"1711",27765
"1712",4253
"1713",87732
"1714",2066
"1715",47531
"1716",86749
"1717",38585
"1718",38356
"1719",83570
"1720",16941
"1721",81174
"1722",76942
"1723",43885
"1724",47728
"1725",68954
"1726",45161
"1727",87062
"1728",58561
"1729",10261
"1730",63432
"1731",65610
"1732",50242
"1733",75160
"1734",96655
"1735",17380
"1736",85672
"1737",95928
"1738",93254
"1739",56203
"1740",52610
"1741",21197
"1742",55043
"1743",80970
"1744",15425
"1745",52774
"1746",34781
"1747",86233
"1748",38865
"1749",12409
"1750",51319
"1751",32199
"1752",62937
"1753",25921
"1754",89331
"1755",21150
"1756",65479
"1757",38387
"1758",75400
"1759",15758
"1760",47103
"1761",85149
"1762",44157
"1763",77455
"1764",96648
"1765",43802
"1766",53613
"1767",66611
"1768",32338
"1769",79513
"1770",26337
"1771",88585
"1772",89547
"1773",35582
"1774",63998
"1775",3053
"1776",84395
"1777",50511
"1778",30297
"1779",95507
"1780",7125
"1781",24592
"1782",46648
"1783",82489
"1784",24719
"1785",43469
"1786",54741
"1787",51374
"1788",88114
"1789",45511
"1790",21603
"1791",40243
"1792",7552
"1793",80053
"1794",39629
"1795",84746
"1796",55887
"1797",20013
"1798",65744
"1799",12494
"1800",49092
"1801",76434
"1802",86881
"1803",94892
"1804",8828
"1805",56471
"1806",92915
"1807",39536
"1808",10582
"1809",88588
"1810",90186
"1811",13105
"1812",77161
"1813",10747
"1814",54151
"1815",74986
"1816",12059
"1817",59809
"1818",32819
"1819",90936
"1820",85277
"1821",79278
"1822",95233
"1823",92980
"1824",16649
"1825",22638
"1826",49236
"1827",88799
"1828",28889
"1829",6955
"1830",38228
"1831",57423
"1832",78142
"1833",97416
"1834",38486
"1835",73780
"1836",82572
"1837",95561
"1838",34921
"1839",78830
"1840",60658
"1841",30739
"1842",49024
"1843",82973
"1844",73440
"1845",50130
"1846",91065
"1847",13445
"1848",1136
"1849",67512
"1850",25296
"1851",77275
"1852",11791
"1853",92644
"1854",72307
"1855",47917
"1856",42266
"1857",65357
"1858",30346
"1859",34039
"1860",30895
"1861",59029
"1862",71295
"1863",48561
"1864",35170
"1865",89975
"1866",46999
"1867",74436
"1868",71808
"1869",21780
"1870",61276
"1871",75632
"1872",59907
"1873",53153
"1874",98404
"1875",52292
"1876",81255
"1877",50703
"1878",79074
"1879",80154
"1880",32410
"1881",70042
"1882",22626
"1883",45761
"1884",5703
"1885",14845
"1886",988
"1887",8902
"1888",11824
"1889",13525
"1890",32190
"1891",64358
"1892",9237
"1893",98716
"1894",89637
"1895",57329
"1896",5172
"1897",29985
"1898",6834
"1899",9194
"1900",63571
"1901",41867
"1902",45568
"1903",51523
"1904",50874
"1905",14899
"1906",74430
"1907",97172
"1908",14901
"1909",43575
"1910",78546
"1911",2493
"1912",94358
"1913",92834
"1914",67751
"1915",75961
"1916",1068
"1917",90161
"1918",7429
"1919",37870
"1920",7794
"1921",44200
"1922",63845
"1923",92900
"1924",64217
"1925",23909
"1926",51864
"1927",92659
"1928",50138
"1929",33013
"1930",45480
"1931",88490
"1932",4601
"1933",61574
"1934",37971
"1935",90196
"1936",74489
"1937",61904
"1938",913
"1939",69242
"1940",25967
"1941",68492
"1942",95930
"1943",37523
"1944",77280
"1945",66663
"1946",49492
"1947",94896
"1948",14858
"1949",84101
"1950",54615
"1951",99570
"1952",28930
"1953",57145
"1954",54811
"1955",46351
"1956",95356
"1957",25164
"1958",2675
"1959",49643
"1960",85198
"1961",33333
"1962",27306
"1963",6022
"1964",43434
"1965",61120
"1966",79154
"1967",42578
"1968",63170
"1969",30862
"1970",77330
"1971",85975
"1972",68536
"1973",86586
"1974",96948
"1975",59965
"1976",52789
"1977",14379
"1978",87912
"1979",62072
"1980",31089
"1981",12762
"1982",48403
"1983",70758
"1984",33836
"1985",57913
"1986",84088
"1987",68358
"1988",33102
"1989",23458
"1990",53653
"1991",40458
"1992",53814
"1993",66868
"1994",32264
"1995",13897
"1996",17199
"1997",89293
"1998",15807
"1999",65510
"2000",86068
"2001",65543
"2002",98098
"2003",89453
"2004",26443
"2005",83973
"2006",87203
"2007",89653
"2008",22288
"2009",46730
"2010",19669
"2011",41465
"2012",27902
"2013",69180
"2014",86793
"2015",10392
"2016",79235
"2017",13988
"2018",252
"2019",77897
"2020",25282
"2021",52075
"2022",59042
"2023",18069
"2024",86084
"2025",78230
"2026",77830
"2027",5416
"2028",38138
"2029",41606
"2030",40159
"2031",37358
"2032",33025
"2033",59332
"2034",98995
"2035",55157
"2036",79632
"2037",63559
"2038",43631
"2039",34032
"2040",85374
"2041",94935
"2042",71960
"2043",58967
"2044",54999
"2045",14195
"2046",22134
"2047",13193
"2048",85919
"2049",15333
"2050",16737
"2051",63479
"2052",43749
"2053",95608
"2054",49136
"2055",72502
"2056",97009
"2057",94313
"2058",50282
"2059",33362
"2060",84986
"2061",47753
"2062",9576
"2063",4506
"2064",60381
"2065",2563
"2066",68478
"2067",14065
"2068",60191
"2069",92934
"2070",61815
"2071",6933
"2072",64008
"2073",73330
"2074",56025
"2075",30373
"2076",95256
"2077",19609
"2078",37408
"2079",12116
"2080",87542
"2081",19404
"2082",14262
"2083",23010
"2084",86020
"2085",24528
"2086",6915
"2087",41877
"2088",66448
"2089",90346
"2090",30636
"2091",797
"2092",23839
"2093",25108
"2094",79354
"2095",3714
"2096",63153
"2097",55644
"2098",31502
"2099",68068
"2100",39810
"2101",83417
"2102",19351
"2103",5192
"2104",98333
"2105",12199
"2106",23201
"2107",54356
"2108",85697
"2109",51918
"2110",71016
"2111",11037
"2112",80440
"2113",97991
"2114",4329
"2115",21093
"2116",63577
"2117",48466
"2118",49534
"2119",27981
"2120",50328
"2121",35311
"2122",91264
"2123",99496
"2124",79814
"2125",43366
"2126",53585
"2127",87723
"2128",61026
"2129",78856
"2130",44818
"2131",91705
"2132",49555
"2133",453
"2134",26972
"2135",20874
"2136",87668
"2137",49627
"2138",89942
"2139",22018
"2140",6096
"2141",87283
"2142",37231
"2143",16809
"2144",58158
